level,QRCode,Phase,Message
info,12001,数据传输,[固件升级] 发送数据帧 12/117（256 字节）
info,12001,数据帧,15 D0 72 B1 01 2A 0C D0 02 2A 0A D0 03 2A 09 D1 04 E0 1A B1 01 2A 06 D0 02 2A 03 D1 C9 6A C9 01 00 D5 01 20 10 BD C9 6A A1 42 FA D0 10 BD 00 2A F7 D0 01 2A F2 D0 02 2A F3 D0 03 2A F3 D0 10 BD 30 B5 04 68 25 68 25 F4 80 25 25 60 04 68 63 60 83 68 40 2B 03 68 03 D0 99 60 00 68 C2 60 30 BD 9A 60 00 68 C1 60 30 BD 70 47 00 00 10 B5 00 F0 F7 F9 00 22 4F F4 80 41 04 48 01 F0 6B FA A0 20
info,12001,数据帧,00 F0 EA FA 00 28 00 D0 02 20 10 BD 00 04 02 40 7F B5 00 26 8D F8 04 60 01 A9 30 46 00 F0 64 F8 9D F8 04 00 5A 28 02 D0 00 F0 C6 F8 7F BD 02 22 69 46 01 20 00 96 00 F0 81 F8 BD F8 00 00 28 4D 40 BA 02 22 28 86 69 46 03 20 00 F0 77 F8 BD F8 00 00 02 A9 40 BA 68 86 8D F8 08 60 05 20 00 F0 43 F8 9D F8 08 00 1F 4C 00 28 A0 78 02 D0 40 F0 20 00 01 E0 20 F0 20 00 A0 70 02 22 69 46 06 20
info,12001,数据传输,[固件升级] 发送数据帧 13/117（256 字节）
info,12001,数据帧,00 F0 5C F8 BD F8 00 00 15 49 40 BA 68 81 02 22 08 31 08 20 00 F0 52 F8 02 22 69 46 0A 20 00 F0 4D F8 BD F8 00 00 02 22 40 BA E8 82 69 46 0C 20 00 F0 44 F8 BD F8 00 00 03 A9 40 BA 28 83 8D F8 0C 60 0E 20 00 F0 10 F8 9D F8 0C 00 00 28 20 79 02 D0 40 F0 80 00 01 E0 20 F0 80 00 20 71 7F BD 54 00 00 20 4F 00 00 20 70 B5 0C 46 05 46 FF 28 09 D8 44 B1 00 F0 02 FA A0 20 00 F0 D3 F9 00 F0
info,12001,数据帧,41 FA 78 B9 01 E0 01 20 70 BD E8 B2 00 F0 CA F9 00 F0 38 FA 00 F0 F2 F9 A1 20 00 F0 C3 F9 00 F0 31 FA 18 B1 00 F0 0A FA 03 20 70 BD 00 20 00 F0 85 F9 20 70 00 F0 02 FA 00 20 70 BD 2D E9 F0 41 15 46 0E 46 04 46 FF 28 05 D8 26 B1 1D B1 60 19 B0 F5 80 7F 02 D9 01 20 BD E8 F0 81 00 F0 CE F9 A0 20 00 F0 9F F9 00 F0 0D FA 68 B9 E0 B2 00 F0 99 F9 00 F0 07 FA 38 B9 00 F0 C0 F9 A1 20 00 F0
info,12001,数据传输,[固件升级] 发送数据帧 14/117（256 字节）
info,12001,数据帧,91 F9 00 F0 FF F9 18 B1 00 F0 D8 F9 03 20 E3 E7 00 24 6F 1E 09 E0 BC 42 01 D1 00 20 00 E0 01 20 00 F0 4C F9 30 55 64 1C A4 B2 AC 42 F3 D3 00 F0 C5 F9 00 20 D0 E7 00 00 38 B5 00 20 5A 21 00 90 00 F0 8E F8 05 20 04 F0 06 FC 31 4C 02 22 20 8E 01 0A 8D F8 00 10 8D F8 01 00 69 46 01 20 00 F0 A4 F8 05 20 04 F0 F7 FB 60 8E 02 22 01 0A 8D F8 00 10 8D F8 01 00 69 46 03 20 00 F0 96 F8 05 20
info,12001,数据帧,04 F0 E9 FB 23 4D A8 78 C0 F3 40 11 05 20 00 F0 67 F8 05 20 04 F0 DF FB 60 89 02 22 01 0A 8D F8 00 10 8D F8 01 00 69 46 06 20 00 F0 7E F8 05 20 04 F0 D1 FB 02 22 04 F1 08 01 08 20 00 F0 75 F8 05 20 04 F0 C8 FB E0 8A 02 22 01 0A 8D F8 00 10 8D F8 01 00 69 46 0A 20 00 F0 67 F8 05 20 04 F0 BA FB 20 8B 02 22 01 0A 8D F8 00 10 8D F8 01 00 69 46 0C 20 00 F0 59 F8 05 20 04 F0 AC FB 28 79
info,12001,数据传输,[固件升级] 发送数据帧 15/117（256 字节）
